VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseDollars,FreightCost,AvgSalesPrice,TargetMargin,RequiredSalesDollars,UpsideDollars,NeededPriceDeltaPerUnit
1590,DIAGEO CHATEAU ESTATE WINES,22045,2,23.98,95.28,0.5065710315158742,11.99,0.35,147.36395543310135,123.38395543310135,61.691977716550674
1590,DIAGEO CHATEAU ESTATE WINES,22046,12,143.88,95.88,0.5097610254171077,11.99,0.35,148.29194003910322,4.411940039103229,0.36766166992526905
1590,DIAGEO CHATEAU ESTATE WINES,22047,5929,61432.71,6924.83,36.81694244513089,10.361394838927307,0.35,10710.226065300201,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,22459,1,9.99,100.56,0.5346429778467287,9.99,0.35,155.53021996591804,145.54021996591803,145.54021996591803
1590,DIAGEO CHATEAU ESTATE WINES,22460,7,97.93,229.92000000000002,1.2224056629526638,13.99,0.35,355.6037010199272,257.6737010199272,36.810528717132456
1590,DIAGEO CHATEAU ESTATE WINES,22531,9986,89283.14,9474.08,50.370429032996576,8.940831163629081,0.35,14653.000660050764,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,22918,504,5538.96,619.9200000000001,3.2959016987544163,10.99,0.35,958.7936949211606,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,23201,567,7092.33,559.44,2.974350313510083,12.50851851851852,0.35,865.2528466361694,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,23202,379,3954.21,1410.75,7.500473160275185,10.433271767810027,0.35,2181.923804861962,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,23203,302,3181.98,1339.6,7.122193050153916,10.53635761589404,0.35,2071.8802970002366,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,23209,24,479.76,319.92,1.7009047481376836,19.99,0.35,494.80139192021187,15.041391920211879,0.6267246633421616
1590,DIAGEO CHATEAU ESTATE WINES,24020,4195,46961.05,7011.0,37.275078735913034,11.194529201430274,0.35,10843.500121132172,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,25202,62301,746988.99,45361.44,241.1711949186129,11.99,0.35,70157.86337679788,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,25211,40471,525718.29,31497.9,167.4635148361026,12.99,0.35,48715.94386897862,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,25581,11672,104304.28,8655.82,46.020021683624414,8.93628169979438,0.35,13387.446187205574,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,25800,12,287.88,394.32,2.096463991890633,23.99,0.35,609.8714830644471,321.99148306444715,26.832623588703928
1590,DIAGEO CHATEAU ESTATE WINES,25801,16,447.84,432.16999999999996,2.297699440493444,27.99,0.35,668.4118452930667,220.5718452930667,13.785740330816669
1590,DIAGEO CHATEAU ESTATE WINES,25802,14219,175963.81,16731.980000000003,88.9581902592672,12.3752591602785,0.35,25878.36644655272,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,32303,657,8483.43,1517.76,8.069408572560173,12.912374429223744,0.35,2347.4298593424,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,32906,1129124,12095935.06,197248.08,1048.7002870500176,10.712672000595152,0.35,305071.9696723846,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,32907,1045622,9125269.62,157271.19,836.1568948995491,8.727120909850786,0.35,243242.07214599932,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,32908,231775,2504935.29,84049.59999999999,446.862852335187,10.807616395210873,0.35,129994.5582343618,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,34431,28459,490127.41,29164.32,155.05667155603527,17.222228820408304,0.35,45106.73334085543,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,37419,377,15254.230000000001,7592.199999999999,40.36511949490785,40.46214854111406,0.35,11742.40787614601,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,37420,9927,178586.73,45392.22,241.33484160574616,17.990000000000002,0.35,70205.46898708577,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,37712,460,5224.4,1058.5,5.627680907426037,11.357391304347825,0.35,1637.1195090883477,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,39348,113869,1261403.81,48938.5,260.1891942258565,11.07767531110311,0.35,75690.29106803978,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,39923,19910,201954.9,13348.9,70.97151598029232,10.143390256152687,0.35,20645.956178431217,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,41727,39,272.61,166.68,0.8861803057626566,6.99,0.35,257.79412354732716,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,41831,144,790.5600000000001,270.71999999999997,1.4393252482365393,5.49,0.35,418.7066542280561,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,42640,1825,18445.75,3012.3999999999996,16.015896046792815,10.107260273972603,0.35,4659.101378533527,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,42642,7172,90371.28,10467.750000000002,55.653431099394346,12.600568878973787,0.35,16189.851432460608,0.0,0.0
