VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseDollars,FreightCost
480,BACARDI USA INC            ,4298,22183,21961.170000000002,9708.8,49.18542389198046
480,BACARDI USA INC            ,4304,1624,1607.76,316.79,1.60487912355188
480,BACARDI USA INC            ,4316,48,575.52,173.76,0.8802796695235792
480,BACARDI USA INC            ,4319,41,409.59000000000003,14.58,0.07386324575076994
480,BACARDI USA INC            ,4320,19943,999918.5700000001,61017.880000000005,309.1206217853903
480,BACARDI USA INC            ,4331,15,149.85,85.67999999999999,0.43406055527612947
480,BACARDI USA INC            ,4357,1,9.99,7.46,0.03779285413585348
480,BACARDI USA INC            ,4379,1588,1572.1200000000001,124.1,0.6286988201420131
480,BACARDI USA INC            ,4404,68168,462129.82,40560.48,205.4820783271049
480,BACARDI USA INC            ,4450,36227,963780.73,41517.93,210.33258344672592
480,BACARDI USA INC            ,4670,231098,1162918.52,33975.06,172.11990440172522
480,BACARDI USA INC            ,4881,7240,138403.6,12529.26,63.47406107375115
480,BACARDI USA INC            ,4903,14521,57938.79,9471.0,47.980713340572166
480,BACARDI USA INC            ,4959,93921,92981.79000000001,10718.16,54.29890851001868
480,BACARDI USA INC            ,5181,1,29.99,23.99,0.12153492905082104
480,BACARDI USA INC            ,5194,47717,694069.83,22751.3,115.25959280174843
480,BACARDI USA INC            ,5214,49,783.51,290.7,1.4727054554011536
480,BACARDI USA INC            ,5230,103301,1489614.99,50066.24,253.63888813011167
480,BACARDI USA INC            ,5231,10,159.9,106.56,0.5398400183266149
480,BACARDI USA INC            ,5246,67432,982348.68,35474.869999999995,179.71804120621508
480,BACARDI USA INC            ,5315,326887,8661130.129999999,214591.3,1087.1337399092727
480,BACARDI USA INC            ,5317,14001,46063.29,10826.46,54.847563483599494
480,BACARDI USA INC            ,5318,13278,373673.22,38344.399999999994,194.25527025828686
480,BACARDI USA INC            ,5560,48257,832427.4299999999,43294.149999999994,219.33103162007515
480,BACARDI USA INC            ,6225,74494,297231.06,26197.18,132.7166491301204
480,BACARDI USA INC            ,6638,27792,694522.08,39633.659999999996,200.7867468163553
480,BACARDI USA INC            ,6916,1,14.99,11.1,0.056233335242355714
480,BACARDI USA INC            ,7221,879905,9230203.45,100156.00000000001,507.3969301381423
