VendorNumber,VendorName,UnderperformingBrandCount,SalesAtRisk,GrossProfit_FromBadBrands,Freight_FromBadBrands,AvgMargin_BadBrands,MinMargin_BadBrands,LowMarginBrands,HighFreightBrands,LowTurnoverBrands,VendorTotalSales,SalesAtRiskPct
17031,FLAG HILL WINERY & VINEYARD,13,1499130.93,-2426563.7,20453.03,-366.99085768673984,-1367.603819177145,13,0,11,2384898.7399999998,0.6285931158653721
90047,CRUSH WINES,19,1461307.69,-4022997.2800000003,27696.87,-682.2345911390303,-2711.0228253226887,19,2,18,2344678.9899999998,0.6232442463264449
8320,SHAW ROSS INT L IMP LTD,10,1321608.92,-4959706.680000001,31519.2,-1069.7516263000737,-4451.3613545724365,10,2,9,25793520.88,0.05123801927424186
2555,DISARONNO INTERNATIONAL LLC,6,1308519.81,-5578333.470000001,35166.18,-1083.7732913824134,-3645.6956650712186,6,1,5,75849359.77,0.017251560381891937
9206,PHILLIPS PRODUCTS CO.,11,1123228.26,-3641506.66,24330.129999999997,-1676.4816289529801,-3912.71112329823,10,5,11,14375065.41,0.07813726254202832
4950,LATITUDE BEVERAGE COMPANY,5,975610.61,-614673.1900000001,8050.0,-127.97205190702553,-342.1010843582665,5,0,3,8791433.14,0.11097287489579884
1655,FABRIZIA SPIRITS LLC,4,902636.1,-538225.9400000001,7299.56,-72.83113412708366,-156.80255799124885,4,0,2,5319116.45,0.16969662320515655
5455,MARSALLE COMPANY,6,561547.32,-555943.0800000001,5623.26,-333.2075802919911,-1236.4504289235474,6,0,3,1727514.43,0.3250608563657555
4380,CHARLES JACQUIN ET CIE INC,7,539041.74,-1780149.33,11727.730000000001,-1074.310503371258,-2639.7769728844673,7,2,7,7026339.35,0.07671729376407076
90010,VINEXTRA INC,12,493803.77,-744169.63,6299.280000000001,-271.53470386300165,-766.4890815830298,12,0,11,669431.2,0.7376467813271925
7255,PSP WINES,10,475669.87,-819774.1300000001,6487.1,-309.9237769575037,-975.379429023965,10,0,9,1082893.79,0.4392581012030736
1601,VRANKEN AMERICA,6,337201.38,-919073.34,6293.82,-603.3332169505774,-1538.8356688157332,6,1,5,2753261.57,0.12247342703439544
90032,LABELLE VYDS AND WINERY,7,327122.0,-706202.5999999999,5447.75,-411.4107757641001,-951.934799308486,7,0,6,968415.52,0.33779095155352323
4848,LAIRD & CO,6,243292.51,-981039.1099999999,6262.14,-1143.006205743124,-1933.4397278320434,6,2,5,2238511.1,0.10868496921904922
8735,SURVILLE ENTERPRISES CORP,7,227581.6,-133542.02999999997,1843.24,-99.05011163056099,-365.39087117764274,7,0,6,526943.27,0.4318901349665212
17033,SEA BREEZE CELLARS LLC,4,207419.03999999998,-230571.52,2198.2,-351.3289908398318,-963.2965428037062,4,0,3,1067367.66,0.19432764151763787
8920,TAKARA SAKE USA INC,1,202463.25,156940.92,232.99,77.51575656322814,77.51575656322814,0,0,1,1212939.17,0.16691954139794168
17032,JEWELL TOWNE VINEYARDS,5,191120.94,-81958.96000000002,1418.0500000000002,-58.604798675733285,-131.52449456797285,5,0,3,340581.6,0.5611604972200495
6215,MOONLIGHT MEADERY,4,185083.41,-101809.38999999997,1462.44,-90.6386991733591,-251.01185468600957,4,0,3,391219.27,0.4730937972457236
8150,SEA HAGG DISTILLERY LLC,4,172026.43,-583893.4899999999,3742.08,-434.96829386344905,-827.3825706234928,4,0,4,2859022.15,0.06016967374666894
1273,CALEDONIA SPIRITS INC,2,112266.85,-409582.08999999997,2639.54,-573.5748057613558,-948.5493079379672,2,0,2,8272654.630000001,0.013570837297241308
7154,PREMIER DISTRIBUTORS,4,101694.42,-238158.53999999998,1729.48,-355.74342744360877,-706.1479722299445,4,0,3,1582029.3199999998,0.06428099575297379
90011,FORTUNE WINE BROKERS LLC,4,80039.94,-108675.18,954.4399999999999,-162.29066668973246,-295.2536499912452,4,0,4,548239.46,0.1459944893423031
17037,Dunn Wine Brokers,4,78758.47,-210894.85,1432.1200000000001,-313.7408203595065,-492.87688033869637,4,0,4,520165.95999999996,0.1514102729828765
28750,SMOKY QUARTZ DISTILLERY LLC,3,66423.62,-144015.46000000002,1027.9499999999998,-233.13554681790598,-338.1332493872688,3,0,3,400260.35,0.1659510366190406
98450,Serralles Usa LLC,3,65677.97,-443870.9199999999,2568.06,-799.1488804222939,-1305.9329090830827,3,0,3,4609829.77,0.014247374258247287
10050,Russian Standard Vodka,3,61326.67,-357592.94000000006,2197.8,-596.9506711882578,-700.9674828925256,3,0,2,770368.48,0.07960693043931392
1189,BULLY BOY DISTILLERS,1,56837.07,-61700.54,609.39,-108.55686262504382,-108.55686262504382,1,0,1,1294178.0,0.04391750593813216
6355,NICHE W & S,3,50255.4,-284493.54000000004,1653.63,-590.6236113257793,-770.9330161279873,3,0,3,908957.8999999999,0.055289029337882434
90058,ZORVINO VINEYARDS,1,45600.99,-40970.40000000001,448.68,-89.8454178297445,-89.8454178297445,1,0,1,924647.09,0.04931718327259322
90046,CANDIA VINEYARDS,3,38128.020000000004,-72218.40000000001,582.39,-191.05028099090876,-222.2026587618607,3,0,3,138948.0,0.27440495725019437
2450,DJINN SPIRITS LLC,1,28994.18,-20087.879999999997,251.28,-69.28245599634133,-69.28245599634133,1,0,1,221957.15,0.13062962828636068
172662,SWEETWATER FARM,2,27811.89,-41960.850000000006,356.68,-152.01784200935737,-168.99794201716247,2,0,2,150532.62,0.1847565663840834
90027,POVERTY LANE ORCHARDS,1,26952.02,-18546.870000000003,229.88,-68.81439684298246,-68.81439684298246,1,0,0,368237.92,0.07319186465098435
173357,TAMWORTH DISTILLING,1,25814.67,-15424.270000000004,202.5,-59.750018109857706,-59.750018109857706,1,0,0,229109.84,0.11267377254508143
12331,STELLAR IMPORTING CO LLC,1,23087.15,-1592.1600000000003,119.23,-6.896303788037936,-6.896303788037936,1,0,0,172818.38,0.13359198251945192
90053,INCREDIBREW INC,1,22420.38,-2229.899999999999,124.44,-9.94586175613437,-9.94586175613437,1,0,0,215229.13,0.10416982125049709
28776,TALL SHIP DISTILLERY LLC,1,22224.059999999998,-26481.420000000006,259.9,-119.15653575449315,-119.15653575449315,1,0,1,230632.83,0.09636121622407356
9260,TY KU LLC,1,18766.77,-20353.64,198.94,-108.45574384936778,-108.45574384936778,1,0,0,295197.24,0.06357366349360177
1703,ALISA CARR BEVERAGES,1,15718.69,-19404.989999999998,172.0,-123.45169985539506,-123.45169985539506,1,0,1,50049.51,0.3140628150005864
