VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseQuantity,TotalPurchaseDollars,FreightCost,GrossProfit,ProfitMargin
516,BANFI PRODUCTS CORP        ,22077,3731,36839.69,606,3678.42,19.218799633251756,33142.05120036675,89.96289382556355
516,BANFI PRODUCTS CORP        ,22079,105298,954919.9400000001,9700,44523.0,232.6212384858901,910164.3187615142,95.31315460451209
516,BANFI PRODUCTS CORP        ,22192,46987,554499.13,1951,14105.730000000001,73.69881594563651,540319.7011840544,97.44284020500706
516,BANFI PRODUCTS CORP        ,22194,107036,1239885.64,3943,29493.640000000003,154.09669304083258,1210237.9033069592,97.60883296518858
516,BANFI PRODUCTS CORP        ,22195,12,107.88,12,63.96,0.33417457075124163,43.58582542924875,40.40213703119091
516,BANFI PRODUCTS CORP        ,22402,15,434.84999999999997,16,309.28,1.6159085560028768,123.95409144399711,28.50502275359253
516,BANFI PRODUCTS CORP        ,22404,13,233.87,18,217.26,1.1351276929552023,15.474872307044812,6.6168693321267416
516,BANFI PRODUCTS CORP        ,22789,105,1573.95,8,82.72,0.4321907519159272,1490.7978092480841,94.71697380781372
516,BANFI PRODUCTS CORP        ,22840,10,1529.9,20,1677.1999999999998,8.76293918173831,-156.06293918173805,-10.200858826180667
516,BANFI PRODUCTS CORP        ,22841,3,313.96999999999997,8,519.44,2.7139405727177133,-208.1839405727178,-66.3069530760002
516,BANFI PRODUCTS CORP        ,22903,29021,259392.79,3108,16783.2,87.68790894046653,242521.90209105954,93.49600738365146
516,BANFI PRODUCTS CORP        ,23079,216,4101.84,120,1207.2,6.307309909488725,2888.3326900905117,70.4155376633538
516,BANFI PRODUCTS CORP        ,23172,252,7731.48,175,3569.9999999999995,18.652332982831965,4142.827667017167,53.58388907450019
516,BANFI PRODUCTS CORP        ,23200,64,728.36,60,483.00000000000006,2.523550932971384,242.83644906702858,33.34016819526451
516,BANFI PRODUCTS CORP        ,23518,9,79.10999999999999,24,137.04,0.7159987988703901,-58.645998798870394,-74.13221943985641
516,BANFI PRODUCTS CORP        ,23712,95984,997936.16,6596,44852.799999999996,234.34435877097073,952849.015641229,95.48196105462587
516,BANFI PRODUCTS CORP        ,23870,24010,222689.9,2199,13545.84,70.77353451321136,209073.28646548677,93.88539240687915
516,BANFI PRODUCTS CORP        ,24672,2049,28429.510000000002,315,2674.35,13.97279179625677,25741.187208203748,90.5439003634032
516,BANFI PRODUCTS CORP        ,24673,16513,231151.87,1711,15330.560000000001,80.09823807655026,215741.21176192345,93.33310250179825
516,BANFI PRODUCTS CORP        ,24715,44,2655.56,12,473.64,2.4746473372516897,2179.4453526627485,82.07102655043563
516,BANFI PRODUCTS CORP        ,24873,7,55.93,19,113.81,0.5946280159036712,-58.474628015903676,-104.5496656819304
516,BANFI PRODUCTS CORP        ,25268,78,1013.22,94,793.36,4.145102211557302,215.7148977884427,21.29003550940987
516,BANFI PRODUCTS CORP        ,25270,278,1053.62,189,464.94,2.42919207199941,586.2508079280004,55.64157931018778
516,BANFI PRODUCTS CORP        ,25751,6,59.94,6,40.8,0.21316951980379387,18.926830480196205,31.57629376075443
516,BANFI PRODUCTS CORP        ,25984,16957,158497.43,2412,14182.56,74.10023296050232,144240.76976703948,91.00511583502616
516,BANFI PRODUCTS CORP        ,25985,10349,103724.51,1385,9224.1,48.19355312799449,94452.216446872,91.06065330833763
516,BANFI PRODUCTS CORP        ,26066,9179,85310.21,2112,18289.920000000002,95.56013391298545,66924.72986608703,78.44867556425781
516,BANFI PRODUCTS CORP        ,26069,288,4605.12,72,762.48,3.983762143627372,3838.6562378563726,83.35626949691589
516,BANFI PRODUCTS CORP        ,26351,6,71.94,6,46.44,0.2426370710707889,25.25736292892921,35.108928174769545
516,BANFI PRODUCTS CORP        ,28238,4568,41668.32,816,4855.200000000001,25.36717285665148,36787.75282714334,88.28710355287504
516,BANFI PRODUCTS CORP        ,29650,6220,58934.8,698,4271.76,22.318848723457222,54640.72115127654,92.71384844145825
516,BANFI PRODUCTS CORP        ,31200,24438,475105.62,2519,30202.809999999998,157.8019241280692,444745.0080758719,93.60971315722847
516,BANFI PRODUCTS CORP        ,31346,4104,45102.96,899,6724.52,35.133889688995296,38343.30611031101,85.01283753951185
516,BANFI PRODUCTS CORP        ,31347,7784,85546.16,1277,9053.93,47.30445858914617,76444.92554141086,89.3610251370849
516,BANFI PRODUCTS CORP        ,34635,25034,216475.66,1137,6014.7300000000005,31.425419261016504,210429.50458073898,97.20700451068679
516,BANFI PRODUCTS CORP        ,34893,24,247.76,48,278.4,1.4545684880729466,-32.09456848807293,-12.953894288050103
516,BANFI PRODUCTS CORP        ,37433,117089,1065588.59,9565,41320.8,215.89056602717173,1024051.8994339729,96.10199555852721
516,BANFI PRODUCTS CORP        ,37735,19227,222750.73,1722,13052.76,68.19731816946492,209629.77268183054,94.1095783083766
516,BANFI PRODUCTS CORP        ,37921,1,21.99,1,14.47,0.0756020331264926,7.444397966873505,33.85356055876992
516,BANFI PRODUCTS CORP        ,37923,2104,25063.96,652,4844.36,25.31053664109576,20194.289463358902,80.57102494322088
516,BANFI PRODUCTS CORP        ,37924,2,25.98,24,206.39999999999998,1.0783869825368395,-181.49838698253683,-698.6081100174628
516,BANFI PRODUCTS CORP        ,37926,54712,662210.88,3136,25244.800000000003,131.897595429971,636834.1824045699,96.16788271503027
516,BANFI PRODUCTS CORP        ,40666,12,119.88,12,82.67999999999999,0.43198176219062934,36.76801823780937,30.67068588405854
516,BANFI PRODUCTS CORP        ,40667,28333,341834.67,1891,16262.599999999999,84.96790766571515,325487.1020923343,95.21769751802364
516,BANFI PRODUCTS CORP        ,41827,20993,279141.07,2556,20856.96,108.97225852369944,258175.13774147633,92.48912664176444
516,BANFI PRODUCTS CORP        ,43798,33053,349161.97000000003,3244,20923.800000000003,109.32148035467213,328128.8485196454,93.97611329768972
516,BANFI PRODUCTS CORP        ,43799,24,186.96,12,61.08,0.3191273105297973,125.56087268947022,67.15921731358056
516,BANFI PRODUCTS CORP        ,43801,20188,193273.62,1406,8211.039999999999,42.90057485023881,185019.67942514975,95.72940136638914
516,BANFI PRODUCTS CORP        ,43803,1053,4727.97,326,1010.6,5.280125409649856,3712.0898745903505,78.51339739021928
516,BANFI PRODUCTS CORP        ,43819,30,273.7,36,208.79999999999998,1.0909263660547097,63.809073633945296,23.31350881766361
516,BANFI PRODUCTS CORP        ,43820,8671,80098.29,1395,8202.6,42.856478018200974,71852.83352198178,89.70582708068024
516,BANFI PRODUCTS CORP        ,43821,16,163.84,24,128.64000000000001,0.6721109565578443,34.527889043442144,21.074151027491546
516,BANFI PRODUCTS CORP        ,45524,5653,56743.47,870,5046.0,26.364053846322157,51671.10594615368,91.06088497258571
516,BANFI PRODUCTS CORP        ,45525,9705,96565.95,1339,7913.49,41.34595253117953,88611.11404746881,91.7622765037457
516,BANFI PRODUCTS CORP        ,45526,7495,74948.05,1121,6669.950000000001,34.84877545625773,68243.25122454375,91.05407175309264
653,STATE WINE & SPIRITS   ,313,651,14315.49,137,2390.6499999999996,12.526140358554512,11912.313859641446,83.21275666876542
653,STATE WINE & SPIRITS   ,324,3,65.97,3,48.87,0.2560611044371025,16.8439388955629,25.532725322969384
653,STATE WINE & SPIRITS   ,463,19578,656790.22,2182,53742.659999999996,281.5920784732493,602765.9679215266,91.77450418210044
653,STATE WINE & SPIRITS   ,689,10706,127187.94,1625,11911.25,62.410637000745595,115214.27936299925,90.58585221444679
653,STATE WINE & SPIRITS   ,892,30948,1056016.52,2933,73295.67,384.0427708339963,982336.807229166,93.02286362235753
653,STATE WINE & SPIRITS   ,950,8,639.92,5,294.1,1.5409775079793708,344.27902249202054,53.800322304666295
653,STATE WINE & SPIRITS   ,1120,48,767.52,24,299.76,1.5706338585239583,466.18936614147606,60.73970269719044
653,STATE WINE & SPIRITS   ,2000,13,207.87,9,105.03,0.5503191692046016,102.2896808307954,49.208486472697075
653,STATE WINE & SPIRITS   ,2002,4,119.96,4,86.92,0.45542932673773173,32.58457067326226,27.16286318211259
653,STATE WINE & SPIRITS   ,2004,14,419.85999999999996,10,220.5,1.1553401581416227,198.20465984185833,47.20732145044976
653,STATE WINE & SPIRITS   ,2048,6014,180359.86,997,22143.37,116.02324080538985,158100.4667591946,87.65834413444023
653,STATE WINE & SPIRITS   ,2059,3431,104185.69,807,19432.559999999998,101.81957797504113,84651.31042202497,81.25041972849147
653,STATE WINE & SPIRITS   ,2085,21844,307863.56,3352,35531.2,186.17062234449716,272146.1893776555,88.3983116993955
