VendorNumber,VendorName,UpsideTotal,BrandsNeedingAction,BrandCount,TotalSalesDollars,TotalPurchaseDollars,PurchaseShare,CurrentMargin,StockTurnover,BrandTurnoverMedian,ActionScore
17035,PERNOD RICARD USA          ,24893.136241527514,24,245,1757276736.93,24124091.56,0.07503717236942561,98.62014495096761,44.01081236593795,6.202662721893491,0.7118951612903227
7245,PROXIMO SPIRITS INC.       ,25910.340600155778,13,106,408562586.99,7588029.899999999,0.0236023108324936,98.1332053098179,31.04436530301653,7.063272282598678,0.711491935483871
6355,NICHE W & S                ,44341.29577516798,5,8,908957.8999999999,111031.76999999999,0.000345360572158781,87.7240761095756,5.14282634472351,1.0281285694142188,0.7106854838709677
6213,MHW LTD                    ,24971.839925466567,15,86,51797277.88,1888176.65,0.005873109725089048,96.33610585154852,14.984046137473685,4.2303741349480966,0.709274193548387
9815,WINE GROUP INC             ,18837.31294370617,39,197,367338346.56,5258445.8100000005,0.01635621816717454,98.5611234750521,42.174279622762995,6.6236080178173715,0.6923387096774193
9819,TREASURY WINE ESTATES      ,17943.305193159074,18,102,111416467.6,2978686.4,0.00926510348691712,97.31321317711567,25.338553950619765,6.143930854559576,0.682258064516129
2561,EDRINGTON AMERICAS         ,19219.675601786163,7,29,51076521.339999996,1881721.74,0.005853031945451442,96.29698637837441,22.536671943205256,3.918103448275862,0.6798387096774193
8673,STE MICHELLE WINE ESTATES  ,12885.062668069855,25,139,113598065.86,3086650.7,0.009600922797198513,97.2688175837222,25.340191795570504,4.574031890660592,0.6681451612903225
8892,TRINCHERO FAMILY ESTATES   ,16257.70783501645,35,141,110305290.46,2248928.35,0.0069952157089822435,97.9506808716219,32.545873382651,4.402328589909444,0.6641129032258065
98450,Serralles Usa LLC          ,41488.42140617146,5,13,4609829.77,168993.61,0.0005256489186903703,96.3154901921682,25.071490012424736,2.0,0.6627016129032258
4848,LAIRD & CO                 ,16747.764058280438,7,16,2238511.1,203011.58,0.0006314606659306444,90.88433066067887,10.70114835216133,3.653751885369532,0.652016129032258
6785,PALM BAY INTERNATIONAL INC ,15950.961967439232,23,142,130119309.01,2693797.71,0.008378966834498036,97.9192925338189,33.548003875659475,4.7264197608823775,0.6518145161290323
1650,Circa Wines                ,11151.957168385354,26,63,112765.71,41111.67,0.0001278764616073669,63.36080016780181,2.029078665442302,1.2638888888888888,0.6487903225806452
11567,CAMPARI AMERICA            ,16268.313476006473,5,63,194459032.34,4141197.0300000003,0.012881053555239592,97.85962156701062,28.141041191209563,7.418004187020237,0.6445564516129032
1590,DIAGEO CHATEAU ESTATE WINES,9393.394618138209,29,96,39689422.75,1357564.22,0.004222657675019404,96.56134600083793,20.205745167988926,2.7053250842401813,0.6387096774193548
17033,SEA BREEZE CELLARS LLC     ,17515.83905919627,5,15,1067367.66,108948.09,0.0003388793558636989,89.74133805028343,7.049923285731146,1.4444444444444444,0.6336693548387097
7749,R.P.IMPORTS INC            ,8850.050914052563,24,35,19609.58,17442.829999999998,5.42553338460546e-05,10.615988711239485,0.76,0.95,0.6316532258064516
1485,CASTLE BRANDS CORP.        ,19039.174416812955,4,26,70665321.6,1679383.91,0.005223666956150035,97.61144297969203,30.468922258125833,8.698370652101017,0.6306451612903226
1703,ALISA CARR BEVERAGES           ,11532.06802391979,6,13,50049.51,34951.68,0.00010871602067327778,29.822130126748498,1.0251141552511416,1.0444444444444445,0.6167338709677419
17037,Dunn Wine Brokers          ,7301.516277061346,18,26,520165.95999999996,71451.46,0.00022224735413278792,86.19546545756529,5.375,0.5874413145539906,0.6112903225806452
8320,SHAW ROSS INT L IMP LTD    ,12763.21624413729,10,35,25793520.88,624979.64,0.0019439780709430193,97.56476999428547,27.288497981975205,4.172701949860724,0.607258064516129
7255,PSP WINES ,7022.262318793412,12,30,1082893.79,128895.69,0.00040092569223386127,88.03720169085096,6.061419996362093,1.6503333333333332,0.6070564516129032
90032,LABELLE VYDS AND WINERY    ,13210.71473755983,1,10,968415.52,146839.55,0.0004567394629801716,84.7567705234629,4.686736678335278,2.9832187274108946,0.6028225806451614
1587,VINEYARD BRANDS LLC        ,12189.361103373283,3,3,36171034.42,1207103.66,0.003754655182679324,96.64600773561409,19.82623382804474,0.20833333333333334,0.5917338709677419
516,BANFI PRODUCTS CORP        ,3424.2521876863198,20,130,39143635.12,1628787.84,0.005066289588535472,95.81720544588691,15.138107158984791,6.26617676194593,0.5887096774193549
90010,VINEXTRA INC               ,5900.086106760822,9,29,669431.2,102198.63,0.00031788538839508336,84.6554335738724,5.095361431598776,2.30188679245283,0.5885080645161289
9206,PHILLIPS PRODUCTS CO.      ,8112.76162499166,6,22,14375065.41,430910.91000000003,0.0013403338380272693,96.9869872024107,23.49952556931682,3.609420333175187,0.5776209677419355
4950,LATITUDE BEVERAGE COMPANY  ,4776.208071320433,21,41,8791433.14,316306.60000000003,0.0009838610008072346,96.38379907076394,17.86966351407363,1.0,0.5685483870967742
2450,DJINN SPIRITS LLC          ,6706.404336751408,3,6,221957.15,48830.78,0.00015188649266565383,77.88669569779573,3.2555934774364808,1.669761273209549,0.5683467741935484
90011,FORTUNE WINE BROKERS LLC   ,5830.109803437505,25,55,548239.46,46457.31,0.00014450389435886557,91.48301629224197,8.010746268656716,1.0,0.5616935483870967
660,SAZERAC NORTH AMERICA INC. ,5183.750099816793,8,78,251139167.24,3537977.55,0.011004759727354813,98.58408789075827,48.55997348843393,9.307799958430737,0.5576612903225807
90059,BLACK COVE BEVERAGES       ,5917.3069230769215,1,1,16451.77,14465.06,4.499308079039987e-05,11.62105961850914,0.8955386289445049,0.8955386289445049,0.5258064516129033
2,"IRA GOLDMAN AND WILLIAMS, LLP          ",6335.3100320868,1,2,2555.04,5630.88,1.7514662141812536e-05,-121.44310852276286,0.2926829268292683,0.9421875,0.5254032258064516
3924,HEAVEN HILL DISTILLERIES   ,1798.9393716039583,7,62,152990433.25,2816661.94,0.008761131874023644,98.14973279709959,33.642435887247835,8.719611052588931,0.5201612903225806
6280,UNCORKED       ,2315.370769230769,6,6,2271.66,2966.31,9.226607112543679e-06,-31.250715335921758,0.551440329218107,0.4563492063492064,0.5163306451612903
90017,THE IMPORTED GRAPE LLC     ,1648.0339676126946,12,26,69539.76,15899.01,4.945333385532971e-05,77.02311381175726,2.559082892416226,1.0208333333333335,0.5159274193548388
3951,HIGHLAND WINE MERCHANTS LLC,2423.8834078017276,5,6,1845.44,2572.2,8.000741262674787e-06,-40.127167917595024,0.5888888888888889,0.6145833333333334,0.5118951612903226
28776,TALL SHIP DISTILLERY LLC   ,4511.033376571282,1,4,230632.83,48445.58,0.00015068834106998384,78.88180967124238,3.7195885509838997,4.601977575187885,0.5100806451612903
17031,FLAG HILL WINERY & VINEYARD,573.9951377307875,3,19,2384898.7399999998,300403.2,0.0009343940120051111,87.33797351916081,5.9479813664596275,3.65814266487214,0.509475806451613
6359,OLE SMOKY DISTILLERY LLC   ,1002.8274315520599,3,17,6072088.03,387622.69,0.001205687291125106,93.58466662414313,12.287785261705489,2.031487513572204,0.5046370967741935
173357,TAMWORTH DISTILLING        ,2720.5472428302555,2,4,229109.84,41036.44,0.00012764246123212744,82.00036279541726,4.530653266331658,1.438507326007326,0.49959677419354837
287,APPOLO VINEYARDS LLC       ,2632.4684615384613,2,2,1078.27,2399.7,7.464185836264943e-06,-123.68979940089214,0.3173913043478261,0.31931818181818183,0.49395161290322587
12331,STELLAR IMPORTING CO LLC   ,1290.068196365183,9,17,172818.38,24404.32,7.590881347154947e-05,85.81007769921646,4.984476067270375,1.0,0.49294354838709675
8735,SURVILLE ENTERPRISES CORP  ,688.1271869722484,5,19,526943.27,51187.18,0.0001592159953137243,90.23618064568194,6.950346954510409,2.7525083612040135,0.47237903225806455
2242,DELICATO VINEYARDS INC     ,494.45534065609286,5,88,60488233.449999996,1552400.71,0.0048286899994956205,97.42042867624197,21.86106848714496,9.985495963091118,0.4719758064516129
3551,GILMANTON WINERY & VINEYARD,998.5438461538461,2,2,7339.41,5393.04,1.6774868851277365e-05,26.156598418673976,0.8895348837209303,0.8896103896103896,0.46370967741935487
5083,LOYAL DOG WINERY           ,2070.9023076923067,1,1,1515.99,2320.7999999999997,7.21877004992444e-06,-53.79257119110282,0.42083333333333334,0.42083333333333334,0.4625
1601,VRANKEN AMERICA            ,447.504345449537,2,16,2753261.57,208168.87,0.0006475022423658284,92.40112053960205,7.824854873205011,2.680762468770242,0.4568548387096774
3950,"HOOD RIVER DISTILLERS, Inc.",519.8958049023214,2,6,67589.66,24035.959999999995,7.476304212736204e-05,64.2645339538622,2.6244503078276167,1.88,0.44758064516129037
9260,TY KU LLC                  ,538.1952157078184,3,6,295197.24,38921.47,0.00012106391844839393,86.74770468721185,5.386613386613386,2.5709134615384617,0.4457661290322581
10000,MAJESTIC FINE WINES        ,259.1851065615293,4,38,335821269.12,3506668.63,0.010907374388682166,98.95055598198557,65.00833185764337,10.319369849777583,0.4439516129032258
5612,MILTONS DISTRIBUTING CO    ,170.46977568003166,11,13,2917.83,1507.44,4.688841228911625e-06,48.06903004461267,1.2764976958525345,1.0,0.4391129032258065
90037,THE PIERPONT GROUP LLC     ,592.7326132510909,5,8,43827.31,5713.19,1.7770684618031632e-05,86.9004737000742,5.636206896551724,1.0,0.43891129032258064
6830,PARK STREET IMPORTS LLC    ,202.55469801172006,3,8,586900.75,69459.42,0.00021605118096394463,88.10365977552422,6.271556679696482,1.3333333333333333,0.43447580645161293
1189,BULLY BOY DISTILLERS       ,196.7352352927386,2,6,1294178.0,117928.22,0.0003668117470600226,90.84070274722643,8.65849126718692,4.805576849201762,0.4266129032258064
5992,MCCORMICK DISTILLING CO    ,76.38089427790257,2,26,3995663.1,310552.87,0.0009659642178878311,92.18851259006296,11.335437088760575,4.380262589662836,0.42499999999999993
9099,TRUETT HURST               ,350.9946153846153,1,1,14.99,236.64,7.360607310471042e-07,-1486.9913275517008,0.041666666666666664,0.041666666666666664,0.4056451612903226
9625,WESTERN SPIRITS BEVERAGE CO,26.243619962241553,1,17,4661137.09,361249.21,0.001123653471952286,92.20828752753975,8.289500527611677,5.01376997716895,0.40161290322580645
90027,POVERTY LANE ORCHARDS      ,59.725695755899324,2,8,368237.92,45269.01,0.00014080772732580577,87.64415951513087,5.340258855585831,1.5370843989769822,0.38548387096774195
2876,CENTEUR IMPORTS LLC        ,107.32394788290975,1,10,20369.67,6237.08,1.940022677653513e-05,69.22591284002145,2.2477302204928664,1.673728813559322,0.380241935483871
8150,SEA HAGG DISTILLERY LLC    ,12.930811774063343,1,7,2859022.15,188044.46,0.0005849059444597615,93.39004841218177,12.560667012717364,6.314285714285714,0.37016129032258066
9622,WEIN BAUER INC             ,115.84530130930261,2,6,812094.7999999999,43516.99999999999,0.00013535815936856335,94.61402412624734,10.799601857996018,1.743713733075435,0.36612903225806454
2496,DUGGANS DISTILLED PRODUCTS ,5.794932076634865,1,5,2718987.14,184296.5,0.0005732480414106772,93.18732452702957,7.541511640267886,5.965829559489502,0.3633064516129032
1003,BRONCO WINE COMPANY        ,140.34954980007203,1,6,11949.32,2071.9,6.444575002774237e-06,82.57281585897775,3.6212471131639723,3.3210402319681043,0.3536290322580645
4550,KLIN SPIRITS LLC           ,32.096384172530236,2,4,3277962.44,103484.29,0.0003218843904212751,96.82681568492896,22.391228070175437,5.715313390313391,0.3487903225806452
2396,BLACK PRINCE DISTILLERY INC,69.86149590353455,2,4,69998.53,5971.9400000000005,1.8575517757646402e-05,91.42421990861807,12.325898389095416,2.228153153153153,0.3334677419354839
1439,CAPSTONE INTERNATIONAL     ,8.516923076923092,1,1,75.96,54.64,1.6995587535671814e-07,27.711953659820956,1.0,1.0,0.3332661290322581
8663,STAR INDUSTRIES INC.       ,6.537336972631856,1,2,9875.689999999999,2452.2900000000004,7.627765255829546e-06,75.04245272988518,3.5165562913907285,2.2837837837837838,0.3282258064516129
200,AMERICAN SPIRITS EXCHANGE  ,1.5682060983922383,1,2,2900.24,1205.16,3.748609493867175e-06,58.23276694342537,1.3333333333333333,1.2465277777777777,0.32379032258064516
90026,SILVER MOUNTAIN CIDERS     ,0.46230769230770363,1,1,118.83,77.18,2.4006578440760444e-07,34.74711773121265,1.0,1.0,0.31713709677419355
4425,MARTIGNETTI COMPANIES ,0.0,0,6,1467460165.43,27815844.91,0.0865202465312182,98.0946306867887,34.177122478761284,6.2121344894382435,0.29717741935483877
5455,MARSALLE COMPANY           ,0.0,0,8,1727514.43,185311.19,0.0005764042003998007,89.21870655517478,6.811539536183291,3.7806339712498964,0.28024193548387094
6215,MOONLIGHT MEADERY          ,0.0,0,7,391219.27,71357.59,0.00022195537466683374,81.66675174257139,3.686833186895946,3.1589571068124473,0.2778225806451613
1655,FABRIZIA SPIRITS LLC       ,0.0,0,8,5319116.45,358390.62,0.001114761924263121,93.22790705211953,12.498842221509744,8.500022244550134,0.2758064516129033
28750,SMOKY QUARTZ DISTILLERY LLC,0.0,0,4,400260.35,69803.71,0.0002171220833857339,82.47481670367797,4.477635283077886,2.0600819380121127,0.2713709677419355
17032,JEWELL TOWNE VINEYARDS     ,0.0,0,7,340581.6,54332.369999999995,0.00016899900262728936,83.9639076215509,3.806938159879336,3.1358490566037736,0.26532258064516134
3089,SIDNEY FRANK IMPORTING CO  ,0.0,0,13,69277488.51,1715908.8800000001,0.005337276642254133,97.51079540109039,21.983862836794234,10.613393030951917,0.2637096774193548
4380,CHARLES JACQUIN ET CIE INC ,0.0,0,14,7026339.35,329637.62,0.0010253266884627601,95.2846995640767,15.159282772430428,9.791389578339071,0.2620967741935484
