VendorNumber,VendorName,Brand,TotalSalesQuantity,TotalSalesDollars,TotalPurchaseQuantity,TotalPurchaseDollars,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio,FreightPct,AvgUnitCost,AvgUnitPrice,UnitMargin,UnitMarginPct,Reason_LowMargin,Reason_HighFreight,Reason_LowTurnover
9819,TREASURY WINE ESTATES,13525,1033,41421.67,497770,2978686.4,14836.57,-2952101.3,-7126.949010023014,0.0020752556401550915,0.013906019109631683,0.35818377192421263,5.984061715250015,40.09842207163601,34.114360356385994,0.8507656559512626,1,1,1
9819,TREASURY WINE ESTATES,19055,3934,43308.66,497770,2978686.4,14836.57,-2950214.3099999996,-6812.065554556524,0.007903248488257629,0.01453951647947901,0.342577442940973,5.984061715250015,11.00881037112354,5.024748655873524,0.45642975821016957,1,1,1
9819,TREASURY WINE ESTATES,19635,2538,53998.619999999995,497770,2978686.4,14836.57,-2939524.3499999996,-5443.702727958604,0.005098740382104184,0.01812833334855257,0.2747583178977537,5.984061715250015,21.27605200945626,15.291990294206247,0.7187419116765477,1,1,1
9819,TREASURY WINE ESTATES,40240,6254,55031.46,497770,2978686.4,14836.57,-2938491.51,-5339.657552243752,0.012564035598770517,0.018475076798954063,0.26960160606315003,5.984061715250015,8.799401982731052,2.8153402674810364,0.319946772860949,1,1,1
9819,TREASURY WINE ESTATES,17945,4167,56118.33,497770,2978686.4,14836.57,-2937404.6399999997,-5234.305154839782,0.008371336159270345,0.01883995911754927,0.2643801053951534,5.984061715250015,13.46732181425486,7.483260099004844,0.5556605984631614,1,1,1
9819,TREASURY WINE ESTATES,22757,8027,63842.73,497770,2978686.4,14836.57,-2929680.2399999998,-4588.901884364906,0.016125921610382305,0.02143318276136756,0.23239247444462352,5.984061715250015,7.953498193596612,1.969436478346597,0.2476189005653131,1,1,1
9819,TREASURY WINE ESTATES,42663,6197,64939.03,497770,2978686.4,14836.57,-2928583.94,-4509.743893618368,0.012449524880969122,0.021801230905005645,0.228469227212048,5.984061715250015,10.479107632725512,4.495045917475497,0.4289531203437386,1,1,1
9819,TREASURY WINE ESTATES,41912,5323,69504.77,497770,2978686.4,14836.57,-2924018.1999999997,-4206.931696918067,0.010693693874681078,0.023334034089657778,0.2134611768372156,5.984061715250015,13.057443171144092,7.073381455894077,0.5417125974192012,1,1,1
9819,TREASURY WINE ESTATES,35962,1898,78731.02,497770,2978686.4,14836.57,-2914791.9499999997,-3702.2154037887476,0.0038130060067902848,0.026431456497065287,0.1884463074401932,5.984061715250015,41.481043203371975,35.49698148812196,0.8557398451646565,1,1,1
9819,TREASURY WINE ESTATES,32650,7974,83109.26,497770,2978686.4,14836.57,-2910413.71,-3501.912674953429,0.016019446732426623,0.027901312471161784,0.17851885578093224,5.984061715250015,10.42253072485578,4.4384690096057655,0.42585329098822894,1,1,1
9819,TREASURY WINE ESTATES,32055,7605,86077.95,497770,2978686.4,14836.57,-2907445.0199999996,-3377.6885021076823,0.015278140506659703,0.02889795649518526,0.17236202767375386,5.984061715250015,11.318599605522682,5.334537890272666,0.4713072355408514,1,1,1
9819,TREASURY WINE ESTATES,12234,16426,93893.74,497770,2978686.4,14836.57,-2899629.2299999995,-3088.2029302485976,0.032999176326415816,0.031521861448724514,0.158014474660398,5.984061715250015,5.71616583465238,-0.267895880597635,-0.04686635908524629,1,1,1
9819,TREASURY WINE ESTATES,29081,10775,95810.25,497770,2978686.4,14836.57,-2897712.7199999997,-3024.4287223966116,0.021646543584386363,0.03216526922740172,0.1548536821477869,5.984061715250015,8.891902552204176,2.9078408369541604,0.3270212218231461,1,1,1
9819,TREASURY WINE ESTATES,23764,11670,96145.3,497770,2978686.4,14836.57,-2897377.67,-3013.5406202903314,0.023444562749864395,0.03227775169618393,0.15431404343218025,5.984061715250015,8.238671808054841,2.2546100928048256,0.2736618408079471,1,1,1
9819,TREASURY WINE ESTATES,6724,13035,100623.65,497770,2978686.4,14836.57,-2892899.32,-2874.9695722625843,0.026186793097213574,0.03378121644494029,0.14744615207259923,5.984061715250015,7.719497506712696,1.735435791462681,0.2248120152838428,1,1,1
9819,TREASURY WINE ESTATES,11037,19272,102263.28,497770,2978686.4,14836.57,-2891259.69,-2827.270639079834,0.038716676376639815,0.034331670497438065,0.14508208616035004,5.984061715250015,5.306313823163138,-0.6777478920868774,-0.12772480382301743,1,1,1
9819,TREASURY WINE ESTATES,15205,2970,103920.3,497770,2978686.4,14836.57,-2889602.67,-2780.595004055993,0.0059666110854410676,0.03488796269389084,0.14276873719571634,5.984061715250015,34.99,29.005938284749988,0.82897794469134,1,1,1
9819,TREASURY WINE ESTATES,31119,2831,129681.69,497770,2978686.4,14836.57,-2863841.28,-2208.3620902842954,0.005687365650802579,0.043536536776748305,0.11440759293004278,5.984061715250015,45.80773225008831,39.82367053483829,0.8693656851952439,1,1,1
9819,TREASURY WINE ESTATES,31202,12485,130575.15,497770,2978686.4,14836.57,-2862947.82,-2192.567130882101,0.02508186511842819,0.04383648778871116,0.11362475938185788,5.984061715250015,10.458562274729674,4.474500559479659,0.42783132537166185,1,1,1
9819,TREASURY WINE ESTATES,6563,18759,147672.41,497770,2978686.4,14836.57,-2845850.5599999996,-1927.137614941071,0.037686079916427265,0.04957635352281462,0.10046947835414889,5.984061715250015,7.8720832666986515,1.8880215514486363,0.23983759920776648,1,1,1
9819,TREASURY WINE ESTATES,35960,4900,151606.0,497770,2978686.4,14836.57,-2841916.9699999997,-1874.541225281321,0.009843903810997047,0.05089693228531879,0.09786268353495244,5.984061715250015,30.94,24.955938284749987,0.8065914119182284,1,1,1
9819,TREASURY WINE ESTATES,15900,15360,172079.4,497770,2978686.4,14836.57,-2821443.57,-1639.617275513513,0.0308576250075336,0.05777023052846382,0.0862193266596699,5.984061715250015,11.2030859375,5.219024222249984,0.4658559482062336,1,1,1
9819,TREASURY WINE ESTATES,19735,5735,172797.65,497770,2978686.4,14836.57,-2820725.32,-1632.3863895139777,0.011521385378789401,0.05801136030969893,0.08586094776173171,5.984061715250015,30.130366172624235,24.14630445737422,0.80139432488255,1,1,1
9819,TREASURY WINE ESTATES,31203,18194,189669.06,497770,2978686.4,14836.57,-2803853.9099999997,-1478.2874497295445,0.036551017538220466,0.06367540403044779,0.07822345932436213,5.984061715250015,10.424813674837859,4.4407519595878435,0.42597902447948666,1,0,1
9819,TREASURY WINE ESTATES,8704,11231,191952.69,497770,2978686.4,14836.57,-2801570.28,-1459.5108200880122,0.022562629326797517,0.06444206076880064,0.07729284752404356,5.984061715250015,17.091326685068115,11.1072649698181,0.6498772842205394,1,0,1
9819,TREASURY WINE ESTATES,6530,23755,195952.45,497770,2978686.4,14836.57,-2797570.5199999996,-1427.6782556176252,0.047722843883721396,0.06578485402155797,0.07571515436525544,5.984061715250015,8.248892864660071,2.264831149410056,0.2745618335174471,1,0,1
9819,TREASURY WINE ESTATES,19740,9319,225361.81,497770,2978686.4,14836.57,-2768161.1599999997,-1228.318657895053,0.01872149788054724,0.07565811896143212,0.06583444639533202,5.984061715250015,24.183046464212897,18.198984748962882,0.7525513700639213,1,0,1
9819,TREASURY WINE ESTATES,25538,19765,236982.35,497770,2978686.4,14836.57,-2756540.6199999996,-1163.1839333182406,0.0397070936376238,0.07955934871156628,0.06260622362804656,5.984061715250015,11.99,6.005938284749985,0.5009122839658036,1,0,1
9819,TREASURY WINE ESTATES,32652,42712,267279.88,497770,2978686.4,14836.57,-2726243.09,-1019.9956278040829,0.0858066978725114,0.0897307887127695,0.05550949065077401,5.984061715250015,6.2577233564337895,0.27366164118377423,0.04373182155814109,1,0,1
9819,TREASURY WINE ESTATES,11414,51607,289519.93,497770,2978686.4,14836.57,-2704003.0399999996,-933.9609331903332,0.10367639672941319,0.0971971839667311,0.05124541857964666,5.984061715250015,5.6100902978278135,-0.37397141742220175,-0.06666049877432469,1,0,1
9819,TREASURY WINE ESTATES,6438,56444,328912.56,497770,2978686.4,14836.57,-2664610.4099999997,-810.1272903655608,0.11339373606284027,0.11042201689979851,0.045107946014588195,5.984061715250015,5.827236907377223,-0.15682480787279207,-0.0269123789482891,1,0,1
9819,TREASURY WINE ESTATES,35918,31975,354758.25,497770,2978686.4,14836.57,-2638764.7199999997,-743.8205369431154,0.0642364947666593,0.1190988920485218,0.04182163487388947,5.984061715250015,11.094863174354964,5.110801459104949,0.46064574017624893,1,0,1
