VendorNumber,VendorName,Brand,TotalSalesDollars,TotalSalesQuantity,TotalPurchaseDollars,TotalPurchaseQuantity,FreightCost,GrossProfit,CurrentMargin,TargetMargin,RequiredSalesDollars,UpsideDollars,NeededPriceDeltaPerUnit
3664,WILLIAM GRANT & SONS INC   ,192,584195.15,15685,37534.079999999994,1356,190.3824543378714,546470.6875456622,93.54248961937842,0.35,58037.63454513518,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,233,288337.39,6661,32022.6,1060,162.42681803523413,256152.36318196479,88.83771999946478,0.35,49515.425873900356,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,283,115367.57,2043,18971.82,478,96.2299237081691,96299.52007629182,83.47191509389668,0.35,29335.461421089487,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,284,154893.91,2009,26554.71,497,134.69228136217586,128204.50771863783,82.76923716280248,0.35,41060.61889440334,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,332,2158.92,108,717.22,47,3.637923292650523,1438.0620767073494,66.61025312227176,0.35,1109.0121896810008,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,377,681046.73,17927,54545.40000000001,1924,276.6682205835586,626224.6617794164,91.95032208427406,0.35,84341.64341628242,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,555,138812.77,4523,12907.619999999999,594,65.4707501891773,125839.67924981081,90.65425266696344,0.35,19958.60115413719,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,717,2999.9700000000003,3,4687.4400000000005,6,23.77589464725157,-1711.2458946472518,-57.042100242577476,0.35,7248.024453303464,4248.054453303464,1416.0181511011544
3664,WILLIAM GRANT & SONS INC   ,826,107.91,9,115.08,12,0.5837151955023873,-7.753715195502389,-7.185353716525242,0.35,177.94417722384983,70.03417722384984,7.781575247094427
3664,WILLIAM GRANT & SONS INC   ,847,4185.09,91,1818.1499999999999,51,9.22212185177846,2357.717878148222,56.33613322887255,0.35,2811.3417259258126,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,975,77152.95,2205,3604.47,137,18.282793801985488,73530.197206198,95.30445330502334,0.35,5573.4658366184385,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,1019,27079.91,1009,13142.800000000001,638,66.66364330421251,13870.446356695786,51.220430040926225,0.35,20322.25175892956,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,1045,18296.34,366,5133.15,153,26.036649772272153,13137.153350227729,71.80208364201654,0.35,7937.21023041888,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,1050,13991.890000000001,311,3415.36,104,17.32357951087099,10559.20642048913,75.46661973821357,0.35,5281.051660785955,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,1228,845710.13,8487,88106.88,1263,446.9006315980655,757156.3493684019,89.5290623240379,0.35,136236.58558707396,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,1300,3999.98,2,3100.76,2,15.72784784155355,883.4921521584463,22.087414241032363,0.35,4794.596688987006,794.616688987006,397.308344493503
3664,WILLIAM GRANT & SONS INC   ,1748,300621.89,20011,32403.21,3149,164.35736930878443,268054.3226306912,89.16660148424029,0.35,50103.94979893659,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,1760,1555147.71,59529,57396.350000000006,2915,291.12896820797226,1497460.231031792,96.29054664085844,0.35,88749.96764339689,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,1919,11666.109999999999,389,9212.16,384,46.726431833500804,2407.223568166498,20.634329422288133,0.35,14244.44066435923,2578.3306643592314,6.628099394239669
3664,WILLIAM GRANT & SONS INC   ,1921,9935203.9,143310,339241.56,6436,1720.7199645284572,9594241.620035471,96.56814008654086,0.35,524557.3537915822,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,1956,10138914.95,175905,360429.87,9013,1828.1924924569867,9776656.887507543,96.42705295113994,0.35,557320.0961422415,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2082,332318.83999999997,3116,66514.86,898,337.3803832873994,265466.5996167126,79.88310250984044,0.35,102849.60058967292,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2125,1983986.8900000001,39011,126785.23999999999,3449,643.087166783256,1856558.562833217,93.57715881042022,0.35,196043.5802565896,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2247,476713.07,2193,67190.97,413,340.8097861448126,409181.29021385516,85.83387281868633,0.35,103895.04582483818,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2295,539.94,6,385.68,6,1.9562676103698362,152.3037323896302,28.20752905686376,0.35,596.3634886313382,56.42348863133816,9.403914771889694
3664,WILLIAM GRANT & SONS INC   ,2368,408151.33,2867,71297.64,657,361.6398668009978,336492.050133199,82.44296303853744,0.35,110245.0459489246,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2374,4163280.31,98869,188720.84,6041,957.2403720540037,3973602.2296279464,95.44402331218353,0.35,291812.43134162156,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2398,5604664.62,248938,233503.19999999998,14238,1184.3879565383475,5369977.032043462,95.81263815288669,0.35,361057.8276254436,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2410,30924.15,585,10877.28,272,55.17234638281376,19991.69765361719,64.64752516598577,0.35,16819.15745597356,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2517,7258580.909999999,103109,200348.72,4316,1016.219953627503,7057215.970046372,97.22583598019538,0.35,309792.2153132731,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2535,59396.700000000004,330,14202.62,101,72.03932142810321,45122.040678571895,75.96725184828767,0.35,21961.01434065862,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2711,14552.72,728,4463.91,297,22.64209331208778,10066.167906687911,69.17035376677289,0.35,6902.387835864751,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2714,2799.72,28,1068.6200000000001,14,5.420313974780685,1725.679686025219,61.637581116155154,0.35,1652.3697138073549,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2738,2999.95,5,5496.12,12,27.877726453811093,-2524.0477264538113,-84.13632648723517,0.35,8498.458040698171,5498.5080406981715,1099.7016081396343
3664,WILLIAM GRANT & SONS INC   ,2770,42119.82,1018,19964.0,644,101.26251445090075,22054.5574855491,52.3614713584937,0.35,30869.634637616768,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2801,3199.1800000000003,82,636.64,23,3.2292009216600612,2559.3107990783406,79.99896220526324,0.35,984.4141552640924,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2812,719.84,16,212.1,7,1.0758254515646188,506.66417454843537,70.38566550183866,0.35,327.96280838702245,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2814,2244.5,50,899.0,29,4.559957948875966,1340.940042051124,59.74337456231339,0.35,1390.0922429982706,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2827,14999.7,30,15872.800000000001,40,80.51090159167791,-953.6109015916783,-6.3575331612744135,0.35,24543.55523321797,9543.855233217968,318.12850777393226
3664,WILLIAM GRANT & SONS INC   ,2837,1379.7,30,476.98,14,2.419364563353569,900.3006354366464,65.25336199439344,0.35,737.5374839436208,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2846,1999.95,5,3529.32,12,17.90161377989647,-1547.2716137798966,-77.36551482686549,0.35,5457.2640211998405,3457.3140211998407,691.4628042399681
3664,WILLIAM GRANT & SONS INC   ,2878,64419.380000000005,1562,19992.8,670,101.40859541744985,44325.17140458255,68.80719964175772,0.35,30914.167069873,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2923,23391.859999999997,314,9403.68,176,47.697870261052216,13940.482129738944,59.59544101982034,0.35,14540.581338863158,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2937,4549.349999999999,65,5089.92,96,25.817376154775037,-566.3873761547757,-12.449852751596948,0.35,7870.365194084269,3321.0151940842698,51.0925414474503
3664,WILLIAM GRANT & SONS INC   ,2967,1452251.2,24780,141047.99,3463,715.4314829515881,1310487.7785170483,90.23836775049995,0.35,218097.5715122332,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2985,23533.85,1115,3140.7999999999997,208,15.930940963103039,20377.119059036897,86.58642363674834,0.35,4856.509139943235,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2992,1528844.1700000002,30583,82779.92,2302,419.880927932499,1445644.3690720678,94.55799338084715,0.35,127999.69373528074,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,2994,387022.58,7742,35168.88,978,178.38555496002778,351675.31444503996,90.86687253364904,0.35,54380.408546092345,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,3234,15618716.72,248628,334756.8,7290,1697.9721146832946,15282261.947885316,97.84582319952158,0.35,517622.726330282,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,3238,41581591.61,1369539,510296.16,22352,2588.352648579401,41068707.097351424,98.7665587275759,0.35,789053.0963824298,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,3324,227940.79,4421,29251.04,784,148.3687567974292,198541.38124320257,87.10217299992799,0.35,45229.8596258422,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,3347,3854845.6300000004,92437,123179.27999999998,4313,624.7968153201538,3731041.55318468,96.78835189010357,0.35,190467.81048510788,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,3476,1173633.73,56527,52204.0,3368,264.79204089334917,1121164.9379591066,95.52937252059947,0.35,80721.21852445131,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,3527,4042582.75,133025,123237.45,5635,625.0918684390483,3918720.2081315606,96.93605426213132,0.35,190557.75672067545,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,3532,1235705.96,46204,70074.9,3405,355.43781676494814,1165275.6221832351,94.30039668848366,0.35,108354.36587194605,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,3534,8208024.72,314628,173905.07,9571,882.0909969925821,8033237.559003007,97.87053320427873,0.35,268903.3246107578,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,3870,452609.10000000003,12190,36201.840000000004,1292,183.62499229358835,416223.6350077064,91.96095151593425,0.35,55977.63844968245,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,4005,479.88,12,383.88,12,1.9471375499605181,94.05286245003948,19.59924615529705,0.35,593.5802116153238,113.70021161532384,9.47501763461032
3664,WILLIAM GRANT & SONS INC   ,4149,818668.58,549442,54071.079999999994,46613,274.2623482205876,764323.2376517794,93.36174079769613,0.35,83608.21899726243,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,4197,541987.46,31254,47783.92,3656,242.3722645522283,493961.16773544776,91.13885545164601,0.35,73886.6034839265,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,4198,30873025.869999997,1233363,455224.98000000004,25998,2309.017537350281,30415491.872462645,98.51801375263982,0.35,703898.4577497697,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,4218,5947422.859999999,344314,233803.83000000002,18993,1185.9128287943772,5712433.117171205,96.04888119845585,0.35,361522.6812750683,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,4235,56423.520000000004,5648,28849.27,3811,146.3308765915116,27427.919123408494,48.610790541618975,0.35,44608.61673321771,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,4302,18023.79,1221,3255.8,292,16.514250378142794,14751.475749621859,81.84447194303672,0.35,5034.329615966373,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,4752,12893.55,645,9330.300000000001,630,47.32566813169903,3515.9243318682993,27.26886180972889,0.35,14427.116412510308,1533.5664125103085,2.3776223449772225
3664,WILLIAM GRANT & SONS INC   ,4757,167.88,12,157.79999999999998,15,0.8004019625501972,9.279598037449816,5.527518487878137,0.35,244.00061840392337,76.12061840392337,6.343384866993614
3664,WILLIAM GRANT & SONS INC   ,4764,720482.84,34916,43097.1,2910,218.59951470356214,677167.1404852964,93.98796236219816,0.35,66639.53771492856,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,5071,5738.360000000001,164,4717.4400000000005,182,23.9280623207402,996.9919376792599,17.374161566706512,0.35,7294.412403570371,1556.0524035703702,9.488124412014452
3664,WILLIAM GRANT & SONS INC   ,5135,20956.15,785,4125.14,239,20.923765220496335,16810.086234779505,80.21552735010727,0.35,6378.559638800764,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,5337,12747036.95,460405,333040.2,16167,1689.2650804062755,12412307.484919595,97.37406060409667,0.35,514968.40781600965,0.0,0.0
3664,WILLIAM GRANT & SONS INC   ,5339,53272.97,16543,14208.1,6046,72.0671173897938,38992.80288261021,73.19434768253058,0.35,21969.487872907375,0.0,0.0
